alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
437,1.52917e-08,1.26266e-08,9.79024e-10,1.68612e-09,4.99599e-09
438,1.44023e-08,1.17158e-08,8.50537e-10,1.83593e-09,3.9154e-09
439,1.42725e-08,1.14348e-08,9.80873e-10,1.85676e-09,3.40664e-09
440,1.39304e-08,1.11342e-08,9.98403e-10,1.79776e-09,2.58883e-09
441,1.47283e-08,1.171e-08,1.09776e-09,1.92052e-09,3.26282e-09
442,1.32332e-08,1.08356e-08,8.78983e-10,1.51863e-09,1.96099e-09
443,1.25519e-08,9.91358e-09,1.19169e-09,1.44667e-09,2.33921e-09
444,1.72664e-08,1.43741e-08,9.89405e-10,1.90283e-09,3.94539e-09
445,1.84851e-08,1.56761e-08,9.47423e-10,1.86151e-09,5.99157e-09
446,2.17949e-08,1.9065e-08,9.39989e-10,1.78987e-09,7.73234e-09
447,2.37265e-08,2.11179e-08,1.08216e-09,1.52646e-09,9.4374e-09
448,2.51305e-08,2.22143e-08,1.49253e-09,1.42366e-09,9.49663e-09
449,2.50619e-08,2.16507e-08,1.29881e-09,2.11237e-09,9.33186e-09
450,2.6066e-08,2.3243e-08,8.4913e-10,1.97389e-09,8.1172e-09
451,2.2774e-08,1.97609e-08,8.35858e-10,2.17715e-09,5.8862e-09
452,2.40007e-08,2.05116e-08,1.06386e-09,2.42517e-09,5.02674e-09
453,2.13648e-08,1.83092e-08,9.83763e-10,2.07186e-09,4.48061e-09
454,2.20927e-08,1.90951e-08,9.75213e-10,2.0223e-09,5.24119e-09
455,2.83562e-08,2.56256e-08,9.08e-10,1.82257e-09,6.86561e-09
456,3.14642e-08,2.80018e-08,9.29712e-10,2.53271e-09,6.85207e-09
457,3.76374e-08,3.35447e-08,8.47994e-10,3.2447e-09,8.56446e-09
458,3.5488e-08,3.21877e-08,8.18207e-10,2.48213e-09,7.77496e-09
459,3.50802e-08,3.20217e-08,8.98726e-10,2.15974e-09,8.26361e-09
460,3.71608e-08,3.37173e-08,1.17794e-09,2.26556e-09,7.37812e-09
461,3.75642e-08,3.37947e-08,1.30593e-09,2.4636e-09,9.24176e-09
462,3.71663e-08,3.35679e-08,1.08291e-09,2.51551e-09,9.20191e-09
463,3.42182e-08,2.99571e-08,1.64138e-09,2.61972e-09,5.48996e-09
464,3.11298e-08,2.79903e-08,1.29908e-09,1.84038e-09,3.8338e-09
465,4.28396e-08,3.94672e-08,1.22472e-09,2.14772e-09,1.40091e-08
466,1.55952e-07,1.52264e-07,1.47995e-09,2.20765e-09,1.26553e-07
467,1.43946e-07,1.39416e-07,1.56108e-09,2.96876e-09,1.16928e-07
468,2.3298e-07,2.29287e-07,1.00632e-09,2.6867e-09,2.08146e-07
469,1.42619e-06,1.42239e-06,9.80605e-10,2.81252e-09,1.40364e-06
470,1.2588e-06,1.25485e-06,1.1359e-09,2.81068e-09,1.23405e-06
471,3.6583e-07,3.6256e-07,1.07611e-09,2.19358e-09,3.42249e-07
472,6.18136e-07,6.14003e-07,9.94461e-10,3.1385e-09,5.92316e-07
473,4.48831e-07,4.45758e-07,1.05561e-09,2.0174e-09,4.26124e-07
474,6.92942e-08,6.57697e-08,1.22119e-09,2.30329e-09,4.77423e-08
