rho_star_150_465,rho_star_465_495,rho_star_495_570,rho_star_570_700,rho_star_700_1000,rho_star_1000_2000
0.0250393171,0.0532901157,0.173716186,0.326350655,3.00297218,0.659904619
0.0331037069,0.155738119,0.313526051,0.709024005,7.2254769,2.33443974
0.0416241034,0.0695727036,0.499340725,1.32538243,1.22043297,2.99552955
0.0377224637,0.285947709,1.36231797,0.698888464,2.62199713,1.8356738
0.0335657107,0.0820458261,0.510040563,0.930478997,9.66826062,3.91388436
0.0194943842,0.243621619,0.510077851,1.02761492,2.0635507,2.95515888
0.0643665365,0.328904642,2.00179403,3.09797608,10.2088448,11.0030237
0.0798257249,0.137754793,1.37779328,1.338437,25.4429182,4.17043304
0.0054512652,0.0839833043,0.236855765,0.318231345,4.73578696,1.04508993
0.0731522429,0.158915537,0.586695232,1.49604707,8.4334365,1.90938916
0.0748870664,0.445827171,0.958047664,1.29566272,20.3098786,3.32354438
0.0381034569,0.110706909,0.176699368,0.312275817,3.05544006,1.47189656
0.114787212,0.660698374,1.91686001,2.86010443,21.5278866,7.68978862
0.00853946502,0.0418997491,0.161467688,0.268622485,1.18844304,0.863076281
0.0217274623,0.0681223219,0.111335909,0.312920709,1.21732423,0.815146328
0.0208930314,0.300142819,0.637509587,0.76276819,3.42949123,1.69841486
0.101058825,1.0869019,4.09490926,5.6592791,16.5926642,8.97285798
0.014527883,0.181363128,0.342918655,0.405083519,3.15185546,0.878107948
0.0162273341,0.0714372671,0.473602957,0.620256546,5.99065112,2.47537939
0.0229935225,0.190424422,0.509393713,1.61633531,10.9101036,4.39098715
0.0313601733,0.222698125,0.617996376,0.690053464,4.48682837,0.745403556
0.0529513671,0.366268834,1.40638662,1.75609725,7.80330341,10.0448195
0.0458934965,0.172786089,0.679741526,0.921016263,2.46485682,2.45734112
0.0686340806,0.171836986,1.01796734,0.953474139,8.34507762,1.72536428
0.0824427796,0.244600969,0.569861266,1.33097836,7.23281151,3.64349299
0.0246161025,0.369259968,1.60976493,1.50078103,7.17741371,2.55925986
0.0204763652,0.0671241246,0.176756674,0.493753297,1.4925148,0.573732418
0.00807348402,0.0465616437,0.849196037,0.584849057,1.35709961,1.64438023
0.0234830588,0.206943736,0.520381686,0.759709692,8.09645524,3.48689908
0.0998213199,0.283736518,0.815284885,1.00427075,4.00200472,8.11340993
0.00326387748,0.0367451243,0.167137773,0.227681791,1.55433052,0.66037928
0.0278637682,0.0835839438,0.129989671,0.372876644,3.19345895,2.23693699
0.0133798419,0.103264477,0.432424046,0.928750919,3.22434166,2.29058377
0.00386740172,0.040459689,0.0945107397,0.316472522,0.993329715,0.661659346
0.0515131662,0.347044554,0.752509104,0.677568091,2.33606102,1.76197046
0.0342425703,0.0797966362,0.624415827,0.450158401,2.71794081,1.58668344
0.0327283428,0.383695707,1.08701316,1.63821027,3.60846107,5.0880682
0.0446635611,0.417339563,0.72886536,1.03482568,3.58791864,3.93656321
0.0222297521,0.0508290093,0.51024844,0.205036386,1.4833743,1.2543516
0.0207301461,0.0773782425,0.225815986,0.361549279,1.50733999,0.806677421
0.0385253791,0.179978173,0.747513218,0.811554021,5.85728841,1.65752668
0.0178954617,0.0758995137,0.408695483,0.326920861,1.17760896,1.91590356
0.0384714568,0.141925703,1.33312,0.823017253,7.75924963,1.36870689
0.0338776925,0.184325327,0.678443144,1.23309601,3.40479929,3.3232923
0.0482890252,0.282909849,0.77989453,1.64779201,11.8751051,10.1946051
0.0544765539,0.374945228,1.08879974,1.96400392,7.85231158,3.38662168
0.00526372697,0.0228689047,0.520635055,0.37628329,1.24824159,0.63993914
0.0212333978,0.064337129,0.461421722,0.381246857,2.45688258,1.31743119
0.0111039836,0.0696817718,0.120989656,0.24120952,1.08782031,0.276489912
0.0225860461,0.0880185093,0.310531648,0.476273665,1.1971505,1.16645346
0.022383385,0.121114534,0.46153784,0.286511,1.48043984,1.07572142
0.148293624,0.546656221,1.65905198,2.13471627,14.6981207,15.9160373
